true_id,true_label,pred_id,pred_label,count
1349,n001435,534,n000559,24
8110,n008729,1236,n001315,21
4837,n005210,3786,n004046,19
8497,n009137,8626,n009275,16
2473,n002644,4736,n005089,16
7941,n008545,7798,n008391,15
2394,n002559,4941,n005327,14
4409,n004731,7452,n008012,12
334,n000351,2127,n002272,12
7517,n008087,2421,n002590,12
3808,n004072,3124,n003346,12
8390,n009025,8426,n009062,11
8466,n009103,4730,n005082,10
537,n000562,3939,n004214,10
969,n001026,4366,n004684,10
1328,n001413,4666,n005015,10
1211,n001283,1207,n001279,10
1236,n001315,8110,n008729,10
8496,n009136,7123,n007658,10
7273,n007816,2433,n002603,10
1288,n001372,3623,n003876,9
177,n000191,8474,n009111,9
8448,n009084,1492,n001586,9
7798,n008391,7941,n008545,9
6205,n006688,1752,n001864,9
4126,n004421,4289,n004596,8
8572,n009218,3458,n003703,8
7714,n008300,5520,n005972,8
4590,n004937,1207,n001279,8
1471,n001564,91,n000098,8
5765,n006226,325,n000342,8
7123,n007658,8496,n009136,8
7980,n008587,872,n000919,8
6237,n006721,3335,n003571,8
2467,n002638,1767,n001880,8
1190,n001261,1991,n002122,7
8613,n009262,5961,n006429,7
879,n000926,3689,n003946,7
412,n000433,5763,n006224,7
1012,n001070,8474,n009111,7
7402,n007959,4174,n004474,7
7755,n008346,8442,n009078,7
3306,n003539,8474,n009111,7
4837,n005210,3093,n003315,7
3976,n004256,6718,n007227,7
4588,n004935,4008,n004290,7
4466,n004796,4477,n004810,7
2139,n002286,6875,n007395,7
6787,n007302,6663,n007170,7
145,n000158,108,n000116,7
5893,n006359,4145,n004442,7
4981,n005372,3730,n003988,7
8295,n008924,7762,n008353,7
7334,n007882,8469,n009106,7
503,n000528,1064,n001123,7
8521,n009161,7463,n008025,6
3786,n004046,3093,n003315,6
8430,n009066,325,n000342,6
8482,n009120,2433,n002603,6
2920,n003130,2935,n003148,6
6518,n007015,5789,n006251,6
2961,n003174,4366,n004684,6
7401,n007958,1170,n001239,6
483,n000506,5023,n005418,6
2216,n002366,4284,n004591,6
4469,n004800,4473,n004806,6
4728,n005080,4736,n005089,6
8626,n009275,810,n000855,6
795,n000839,4461,n004787,6
7067,n007598,4461,n004787,6
6078,n006552,5619,n006075,6
3792,n004053,1131,n001198,6
3597,n003849,8351,n008984,6
6591,n007090,3275,n003506,6
1517,n001611,2786,n002988,6
5455,n005903,5100,n005501,6
1373,n001461,7181,n007722,6
5545,n005999,7507,n008077,6
3908,n004178,4190,n004492,6
4288,n004595,7227,n007770,6
483,n000506,2421,n002590,6
1228,n001307,5961,n006429,6
6493,n006986,4207,n004509,6
1996,n002127,7835,n008429,6
2864,n003069,6137,n006614,6
174,n000188,91,n000098,6
3643,n003899,8296,n008925,5
8497,n009137,810,n000855,5
6759,n007273,2357,n002520,5
7532,n008102,4236,n004538,5
2707,n002909,5468,n005917,5
4718,n005069,4459,n004785,5
138,n000150,7495,n008065,5
5241,n005659,8474,n009111,5
6142,n006619,3135,n003358,5
6762,n007276,6072,n006546,5
2070,n002206,8004,n008612,5
432,n000454,640,n000673,5
5293,n005720,3101,n003323,5
3305,n003538,7601,n008178,5
7951,n008555,7085,n007617,5
1448,n001541,242,n000257,5
2597,n002785,3635,n003889,5
1564,n001660,5830,n006292,5
6141,n006618,91,n000098,5
2777,n002979,3077,n003297,5
6091,n006565,3793,n004054,5
3382,n003622,1308,n001392,5
4400,n004721,4363,n004681,5
5698,n006157,8626,n009275,5
8494,n009134,7123,n007658,5
4472,n004805,1492,n001586,5
3682,n003939,5729,n006189,5
8494,n009134,8019,n008631,5
5548,n006002,8515,n009155,5
5049,n005446,2433,n002603,5
608,n000637,8308,n008939,5
2100,n002238,8484,n009122,5
5369,n005810,5961,n006429,5
3841,n004108,8501,n009141,5
1767,n001880,2467,n002638,5
561,n000587,6911,n007433,5
7062,n007592,7182,n007723,5
6542,n007040,8308,n008939,5
6626,n007127,3916,n004187,5
8497,n009137,5743,n006203,5
8345,n008978,4461,n004787,5
1491,n001585,4008,n004290,5
3804,n004066,1334,n001420,5
7643,n008225,2097,n002235,5
4728,n005080,4473,n004806,5
5272,n005697,4112,n004406,5
