true_id,true_label,pred_id,pred_label,count
8110,n008729,1236,n001315,25
4837,n005210,3786,n004046,21
1349,n001435,534,n000559,19
5414,n005860,1280,n001363,16
7798,n008391,7941,n008545,15
3093,n003315,3786,n004046,15
5735,n006195,3129,n003351,14
4605,n004953,5617,n006073,14
334,n000351,2127,n002272,14
4736,n005089,2473,n002644,13
4642,n004990,5963,n006431,13
7123,n007658,8496,n009136,13
561,n000587,6911,n007433,12
4728,n005080,4473,n004806,12
2394,n002559,4941,n005327,12
1570,n001666,7613,n008192,12
2209,n002359,2707,n002909,12
4467,n004797,1494,n001588,11
5045,n005442,5289,n005716,11
4805,n005175,2359,n002522,11
5545,n005999,7388,n007943,11
7183,n007724,7436,n007995,11
561,n000587,7613,n008192,11
3976,n004256,6718,n007227,11
7901,n008501,6663,n007170,11
5469,n005918,2296,n002454,11
12,n000015,158,n000171,10
6467,n006959,7748,n008339,10
4589,n004936,6291,n006776,10
129,n000138,6756,n007270,10
8496,n009136,7123,n007658,10
8044,n008658,1190,n001261,10
4051,n004335,4373,n004691,10
8494,n009134,7790,n008382,10
7097,n007629,2591,n002779,10
1882,n002004,3420,n003663,10
3687,n003944,8119,n008738,10
7416,n007975,754,n000796,9
8497,n009137,8626,n009275,9
6441,n006932,6796,n007311,9
2593,n002781,2296,n002454,9
3883,n004152,1078,n001139,9
4730,n005082,4589,n004936,9
4501,n004839,6580,n007079,9
2940,n003153,4589,n004936,9
6005,n006476,5937,n006403,9
6113,n006590,4728,n005080,9
678,n000713,683,n000718,9
397,n000418,2296,n002454,9
4920,n005299,2094,n002232,9
1041,n001099,3257,n003487,9
5650,n006107,4363,n004681,9
537,n000562,3939,n004214,9
4937,n005322,2964,n003177,9
7463,n008025,8521,n009161,9
255,n000271,2296,n002454,9
243,n000258,6459,n006951,9
6215,n006698,4363,n004681,8
8416,n009052,3656,n003912,8
2954,n003167,1494,n001588,8
3088,n003310,2274,n002432,8
7835,n008429,8503,n009143,8
1075,n001136,4662,n005011,8
227,n000242,4104,n004397,8
6791,n007306,1819,n001936,8
3715,n003973,4117,n004412,8
967,n001024,439,n000461,8
8366,n009000,8477,n009115,8
434,n000456,4569,n004913,8
4129,n004425,5701,n006160,8
2735,n002937,1572,n001668,8
7376,n007931,1572,n001668,8
7398,n007955,6580,n007079,8
1091,n001154,3191,n003416,8
6701,n007209,8259,n008885,8
1747,n001859,8046,n008660,8
5895,n006361,6666,n007173,8
491,n000514,4852,n005227,8
6615,n007115,2296,n002454,8
8572,n009218,1463,n001556,8
1719,n001826,3786,n004046,8
5023,n005418,483,n000506,8
2545,n002725,3275,n003506,8
6205,n006688,1492,n001586,8
7738,n008328,730,n000769,8
3246,n003475,1819,n001936,8
6291,n006776,4589,n004936,8
4720,n005071,4008,n004290,8
8490,n009130,2433,n002603,8
3808,n004072,3124,n003346,8
2907,n003117,8272,n008901,8
4717,n005067,4474,n004807,8
4168,n004467,3235,n003463,8
8248,n008873,4145,n004442,8
2392,n002557,924,n000976,8
3316,n003550,3523,n003771,8
4465,n004794,2473,n002644,8
7444,n008004,6580,n007079,8
7952,n008556,8087,n008704,8
5372,n005813,8517,n009157,7
8626,n009275,2433,n002603,7
3251,n003481,4589,n004936,7
1457,n001550,8227,n008851,7
4718,n005069,4459,n004785,7
6863,n007380,5668,n006126,7
130,n000139,1188,n001259,7
1804,n001918,675,n000710,7
7030,n007559,7060,n007590,7
2532,n002711,1280,n001363,7
