true\pred,computer work,cooking,exploring,playing cards,playing frisbee,playing piano,playing poker,playing pool,playing sudoku,playing video game,preparing,skateboarding,socializing,solving rubik's cube,standing,walking,washing dishes
computer work,504,10,0,25,0,0,18,0,120,24,0,0,14,17,0,5,7
cooking,143,690,0,12,0,0,1,0,11,56,0,0,2,7,0,5,55
exploring,2,0,61,0,8,0,0,3,0,2,0,0,4,0,0,183,7
playing cards,0,442,0,120,0,0,193,0,137,15,0,4,9,0,0,79,1
playing frisbee,0,0,3,0,503,0,0,0,0,1,0,19,3,0,0,137,0
playing piano,814,1,0,0,0,1,0,15,0,0,0,0,0,0,0,9,70
playing poker,6,20,0,21,0,0,812,4,9,0,2,1,7,7,0,9,2
playing pool,2,19,0,0,0,4,2,557,0,0,5,1,24,0,0,39,17
playing sudoku,18,8,0,56,0,0,1,1,847,0,0,0,2,40,0,2,3
playing video game,352,58,0,1,0,0,0,2,1,277,1,0,138,0,0,23,3
preparing,16,19,0,4,0,0,9,14,1,1,3,0,4,0,0,27,10
skateboarding,2,0,2,0,19,0,0,0,0,1,0,496,2,0,0,238,0
socializing,11,16,5,36,10,2,28,1,1,0,22,0,370,0,0,187,5
solving rubik's cube,6,0,0,0,0,0,5,0,55,0,0,0,1,117,0,0,0
standing,16,10,0,0,0,0,0,4,0,0,1,0,2,0,0,32,49
walking,181,369,221,75,832,69,33,155,21,44,101,313,401,8,0,10212,263
washing dishes,0,165,0,0,0,0,0,0,0,1,0,0,0,0,0,3,323
