true_id,true_label,pred_id,pred_label,count
4736,n005089,2473,n002644,27
3786,n004046,4837,n005210,24
8110,n008729,1236,n001315,19
6205,n006688,2473,n002644,18
4473,n004806,2473,n002644,18
8496,n009136,7123,n007658,14
3808,n004072,3124,n003346,14
4728,n005080,2473,n002644,13
2127,n002272,334,n000351,12
7798,n008391,7941,n008545,12
7238,n007781,4039,n004322,12
8438,n009074,6766,n007280,12
3820,n004087,3887,n004156,12
1349,n001435,534,n000559,11
1288,n001372,3623,n003876,11
6661,n007167,8085,n008702,11
2467,n002638,1767,n001880,11
3332,n003567,412,n000433,11
7980,n008587,872,n000919,11
7452,n008012,4409,n004731,10
8494,n009134,7790,n008382,10
1190,n001261,1991,n002122,9
8465,n009102,2473,n002644,9
8485,n009124,2473,n002644,9
2394,n002559,4941,n005327,9
796,n000840,3135,n003358,9
5414,n005860,1280,n001363,9
334,n000351,2127,n002272,9
8626,n009275,8497,n009137,9
4985,n005378,4589,n004936,9
1329,n001414,6766,n007280,9
4465,n004794,2473,n002644,9
8534,n009174,6591,n007090,9
8474,n009111,177,n000191,9
8390,n009025,8426,n009062,8
8482,n009120,3135,n003358,8
6310,n006795,820,n000865,8
5794,n006256,6522,n007019,8
4368,n004686,2943,n003156,8
4465,n004794,4469,n004800,8
537,n000562,3939,n004214,8
7941,n008545,7798,n008391,8
1492,n001586,2473,n002644,8
4941,n005327,2394,n002559,8
3275,n003506,6591,n007090,8
2139,n002286,6875,n007395,8
3995,n004275,6001,n006471,8
7292,n007837,2019,n002150,8
810,n000855,3135,n003358,8
6403,n006892,4366,n004684,7
7574,n008148,4477,n004810,7
5525,n005978,8488,n009127,7
3633,n003887,2473,n002644,7
4528,n004867,4020,n004303,7
760,n000802,8067,n008684,7
7762,n008353,1160,n001229,7
3499,n003746,820,n000865,7
4236,n004538,6580,n007079,7
4048,n004331,4603,n004951,7
1189,n001260,5156,n005559,7
7720,n008306,4221,n004523,7
4589,n004936,6291,n006776,7
6142,n006619,8488,n009127,7
8502,n009142,4600,n004948,7
8271,n008900,4366,n004684,7
7407,n007966,181,n000195,7
2404,n002570,129,n000138,7
3067,n003286,7735,n008324,7
5763,n006224,412,n000433,7
6113,n006590,2473,n002644,7
4236,n004538,3116,n003338,7
5619,n006075,6078,n006552,7
7242,n007785,1860,n001981,7
7304,n007849,2763,n002965,7
7409,n007968,3710,n003968,7
4811,n005183,4039,n004322,7
3499,n003746,1767,n001880,7
8469,n009106,3301,n003533,7
4432,n004757,4182,n004483,7
7981,n008588,4420,n004744,7
