true\pred,computer work,cooking,exploring,playing cards,playing frisbee,playing piano,playing poker,playing pool,playing sudoku,playing video game,preparing,skateboarding,socializing,solving rubik's cube,standing,walking,washing dishes
computer work,28,1,0,26,0,0,41,0,205,0,36,0,36,356,9,4,2
cooking,7,826,0,3,0,0,10,0,23,0,2,0,0,0,0,14,97
exploring,0,0,30,0,7,0,0,0,0,0,0,6,0,0,4,223,0
playing cards,0,754,2,17,0,3,21,0,0,0,1,31,101,1,0,69,0
playing frisbee,0,0,27,0,487,0,0,0,0,1,0,1,3,0,0,147,0
playing piano,26,0,0,0,0,0,0,0,0,0,4,0,0,0,23,823,34
playing poker,60,16,0,1,0,2,643,0,37,0,17,1,30,71,10,10,2
playing pool,2,2,0,0,0,0,0,650,0,0,3,0,2,0,0,11,0
playing sudoku,9,6,0,3,0,0,0,0,917,0,26,0,3,12,0,2,0
playing video game,4,686,0,0,0,0,1,0,0,0,7,0,2,0,0,119,37
preparing,6,4,0,0,0,0,5,1,1,1,18,1,7,0,0,46,18
skateboarding,2,0,0,0,2,0,0,0,0,0,4,667,0,0,0,85,0
socializing,2,3,7,41,1,0,3,0,5,1,96,0,74,6,2,449,4
solving rubik's cube,0,0,0,0,0,0,50,0,49,0,11,0,6,66,1,1,0
standing,0,4,2,0,2,0,0,0,0,0,0,0,19,0,0,85,2
walking,83,142,307,24,212,19,23,34,8,1,213,216,219,7,11,11660,119
washing dishes,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341
