true_id,true_label,pred_id,pred_label,count
313,stadium-football,149,football_field,264
336,train_interior,70,bus_interior,205
0,airfield,293,runway,204
313,stadium-football,314,stadium-soccer,196
24,athletic_field-outdoor,310,soccer_field,189
229,moat-water,78,canal-natural,172
54,beer_hall,274,pub-indoor,167
188,ice_skating_rink-indoor,15,arena-hockey,167
92,classroom,210,lecture_room,162
104,corn_field,359,wheat_field,156
210,lecture_room,92,classroom,151
70,bus_interior,336,train_interior,148
274,pub-indoor,54,beer_hall,146
312,stadium-baseball,42,baseball_field,145
307,skyscraper,125,downtown,144
302,shopping_mall-indoor,25,atrium-public,144
125,downtown,307,skyscraper,144
330,temple-asia,251,pagoda,143
52,bedroom,182,hotel_room,142
260,pavilion,159,gazebo-exterior,141
195,jacuzzi-indoor,325,swimming_pool-indoor,140
189,ice_skating_rink-outdoor,188,ice_skating_rink-indoor,140
337,train_station-platform,320,subway_station-platform,139
0,airfield,174,heliport,138
251,pagoda,330,temple-asia,138
174,heliport,0,airfield,137
303,shower,45,bathroom,136
166,greenhouse-outdoor,165,greenhouse-indoor,136
208,laundromat,343,utility_room,134
45,bathroom,303,shower,133
187,ice_shelf,190,iceberg,131
23,assembly_line,28,auto_factory,129
234,mountain_snowy,163,glacier,128
243,ocean,357,wave,128
204,lagoon,194,islet,128
120,dining_hall,38,banquet_hall,127
342,underwater-ocean_deep,9,aquarium,127
163,glacier,234,mountain_snowy,126
293,runway,0,airfield,126
25,atrium-public,302,shopping_mall-indoor,126
9,aquarium,342,underwater-ocean_deep,125
309,snowfield,305,ski_slope,124
149,football_field,313,stadium-football,122
27,auditorium,235,movie_theater-indoor,120
243,ocean,48,beach,120
314,stadium-soccer,310,soccer_field,120
16,arena-performance,315,stage-indoor,119
110,creek,355,waterfall,118
340,trench,13,archaelogical_excavation,118
97,coast,48,beach,118
22,artists_loft,19,art_gallery,118
337,train_station-platform,278,railroad_track,117
245,office_building,307,skyscraper,116
212,library-indoor,60,bookstore,116
215,living_room,328,television_room,115
78,canal-natural,229,moat-water,114
310,soccer_field,314,stadium-soccer,114
101,conference_center,211,legislative_chamber,114
10,aqueduct,347,viaduct,114
4,alley,227,medina,114
235,movie_theater-indoor,177,home_theater,113
52,bedroom,51,bedchamber,113
87,chalet,304,ski_resort,111
281,recreation_room,6,amusement_arcade,111
114,delicatessen,31,bakery-shop,111
103,construction_site,136,excavation,110
15,arena-hockey,188,ice_skating_rink-indoor,108
42,baseball_field,312,stadium-baseball,108
73,butte,81,canyon,107
153,formal_garden,333,topiary_garden,107
310,soccer_field,24,athletic_field-outdoor,106
290,roof_garden,345,vegetable_garden,106
244,office,176,home_office,106
124,dorm_room,363,youth_hostel,106
75,cafeteria,148,food_court,106
358,wet_bar,203,kitchen,104
314,stadium-soccer,313,stadium-football,102
353,water_park,7,amusement_park,102
69,burial_chamber,85,catacomb,102
101,conference_center,210,lecture_room,102
28,auto_factory,23,assembly_line,101
320,subway_station-platform,337,train_station-platform,101
183,house,107,cottage,100
279,rainforest,150,forest-broadleaf,100
97,coast,94,cliff,99
120,dining_hall,121,dining_room,99
248,operating_room,179,hospital_room,99
21,art_studio,19,art_gallery,98
345,vegetable_garden,290,roof_garden,98
204,lagoon,48,beach,98
13,archaelogical_excavation,340,trench,97
89,childs_room,269,playroom,97
178,hospital,256,parking_garage-outdoor,96
347,viaduct,10,aqueduct,96
159,gazebo-exterior,260,pavilion,96
101,conference_center,27,auditorium,96
202,kindergarden_classroom,269,playroom,95
51,bedchamber,52,bedroom,95
227,medina,4,alley,94
211,legislative_chamber,210,lecture_room,94
130,elevator_lobby,129,elevator-door,93
