true_id,true_label,pred_id,pred_label,count
8110,n008729,1236,n001315,18
7798,n008391,7941,n008545,17
1349,n001435,534,n000559,16
5302,n005732,4016,n004299,15
8496,n009136,7123,n007658,14
2394,n002559,4941,n005327,13
7306,n007851,3934,n004209,12
4461,n004787,2941,n003154,12
334,n000351,2127,n002272,12
4051,n004335,4373,n004691,12
3088,n003310,2274,n002432,11
5545,n005999,7388,n007943,11
4805,n005175,2359,n002522,11
4369,n004687,4589,n004936,11
8466,n009103,4589,n004936,11
5662,n006119,3997,n004277,11
5668,n006126,147,n000160,11
7968,n008575,2802,n003006,11
4605,n004953,5617,n006073,11
7273,n007816,2433,n002603,11
2940,n003153,4589,n004936,11
4751,n005106,3409,n003650,10
4190,n004492,5619,n006075,10
2415,n002583,763,n000805,10
8626,n009275,8497,n009137,10
4837,n005210,3786,n004046,10
127,n000136,8429,n009065,10
537,n000562,3939,n004214,10
561,n000587,6911,n007433,10
8497,n009137,8626,n009275,10
6701,n007209,8259,n008885,10
1492,n001586,4469,n004800,10
4174,n004474,3032,n003249,10
4728,n005080,4473,n004806,10
794,n000837,147,n000160,10
7123,n007658,8496,n009136,10
1457,n001550,8227,n008851,9
4718,n005069,4459,n004785,9
129,n000138,6756,n007270,9
4259,n004562,3130,n003352,9
795,n000839,7067,n007598,9
6048,n006520,5282,n005708,9
4683,n005032,1572,n001668,9
4730,n005082,4589,n004936,9
3865,n004134,3660,n003916,9
6791,n007306,4034,n004317,9
4473,n004806,4469,n004800,9
4409,n004731,7452,n008012,9
4837,n005210,3093,n003315,9
6205,n006688,1492,n001586,9
2467,n002638,1767,n001880,9
8497,n009137,7271,n007814,9
4465,n004794,4469,n004800,9
8426,n009062,8390,n009025,9
3625,n003878,2471,n002642,9
3743,n004001,535,n000560,9
2079,n002215,7725,n008311,9
3681,n003938,163,n000176,9
7927,n008529,7388,n007943,9
3808,n004072,3124,n003346,9
4168,n004467,3235,n003463,9
2421,n002590,483,n000506,9
3093,n003315,3786,n004046,9
6215,n006698,4363,n004681,9
7980,n008587,872,n000919,9
255,n000271,2296,n002454,8
2532,n002711,1921,n002046,8
5188,n005594,4779,n005142,8
1480,n001573,2296,n002454,8
4564,n004907,558,n000584,8
904,n000955,1463,n001556,8
3251,n003481,4589,n004936,8
412,n000433,8429,n009065,8
6291,n006776,4589,n004936,8
2589,n002777,5843,n006308,8
3490,n003737,6989,n007514,8
3238,n003466,3130,n003352,8
5302,n005732,1856,n001975,8
8448,n009084,1492,n001586,8
1110,n001175,4547,n004887,8
967,n001024,2961,n003174,8
732,n000771,1417,n001508,8
4728,n005080,4469,n004800,8
7931,n008534,506,n000531,8
7062,n007592,8203,n008825,8
7759,n008350,1733,n001843,8
7444,n008004,6580,n007079,8
646,n000679,3409,n003650,8
6289,n006774,4589,n004936,8
167,n000181,3266,n003497,8
6831,n007346,763,n000805,8
717,n000756,4589,n004936,8
5619,n006075,6078,n006552,8
1944,n002069,4449,n004775,8
5023,n005418,483,n000506,8
6794,n007309,5778,n006239,8
1004,n001062,2163,n002311,8
5134,n005536,5233,n005650,8
4473,n004806,2473,n002644,8
7517,n008087,483,n000506,8
8448,n009084,2473,n002644,8
4467,n004797,1494,n001588,8
7646,n008228,5132,n005534,8
19,n000022,74,n000080,8
2930,n003143,2907,n003117,8
6618,n007118,4292,n004599,8
3840,n004107,1060,n001119,8
6291,n006776,2940,n003153,8
7829,n008422,8048,n008663,7
6791,n007306,1819,n001936,7
12,n000015,158,n000171,7
