true\pred,computer work,cooking,exploring,playing cards,playing frisbee,playing piano,playing poker,playing pool,playing sudoku,playing video game,preparing,skateboarding,socializing,solving rubik's cube,standing,walking,washing dishes
computer work,39,1,0,19,0,0,10,0,479,0,37,0,37,115,0,5,2
cooking,4,881,0,0,0,0,1,0,0,1,1,0,3,0,0,2,89
exploring,0,0,55,0,8,0,0,0,0,0,0,0,0,0,0,207,0
playing cards,0,655,2,0,0,7,11,0,14,0,8,15,156,0,0,130,2
playing frisbee,1,0,16,0,502,0,0,0,0,0,0,2,3,0,1,141,0
playing piano,84,3,0,0,0,0,0,0,0,0,1,0,0,0,0,785,37
playing poker,58,1,0,1,0,0,726,0,14,1,18,0,36,20,10,13,2
playing pool,2,0,0,0,0,0,0,654,0,0,8,0,1,0,0,4,1
playing sudoku,0,0,0,1,0,0,0,0,949,0,20,0,0,3,0,5,0
playing video game,8,330,0,0,0,0,0,0,0,0,0,0,130,0,0,355,33
preparing,3,2,0,0,0,0,0,1,0,0,28,0,2,0,0,64,8
skateboarding,0,0,0,0,2,0,0,0,0,0,0,682,0,0,0,76,0
socializing,1,7,14,11,0,0,1,0,13,0,101,0,67,2,1,473,3
solving rubik's cube,25,0,0,0,0,0,4,0,8,0,6,0,2,139,0,0,0
standing,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,102,9
walking,51,95,426,11,149,38,23,16,21,1,133,50,140,2,11,11916,215
washing dishes,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
