true_id,true_label,pred_id,pred_label,count
54,beer_hall,274,pub-indoor,307
336,train_interior,70,bus_interior,241
151,forest_path,150,forest-broadleaf,200
9,aquarium,342,underwater-ocean_deep,172
204,lagoon,194,islet,164
163,glacier,234,mountain_snowy,159
188,ice_skating_rink-indoor,15,arena-hockey,157
92,classroom,210,lecture_room,151
313,stadium-football,149,football_field,150
310,soccer_field,24,athletic_field-outdoor,147
16,arena-performance,315,stage-indoor,146
279,rainforest,150,forest-broadleaf,144
85,catacomb,69,burial_chamber,144
114,delicatessen,267,pizzeria,140
24,athletic_field-outdoor,310,soccer_field,137
161,general_store-outdoor,301,shopfront,137
323,swamp,150,forest-broadleaf,132
104,corn_field,359,wheat_field,128
313,stadium-football,314,stadium-soccer,127
337,train_station-platform,320,subway_station-platform,124
0,airfield,293,runway,124
305,ski_slope,309,snowfield,124
52,bedroom,182,hotel_room,123
39,bar,274,pub-indoor,123
315,stage-indoor,122,discotheque,122
211,legislative_chamber,210,lecture_room,121
119,diner-outdoor,301,shopfront,120
319,street,112,crosswalk,118
153,formal_garden,197,japanese_garden,118
177,home_theater,235,movie_theater-indoor,117
110,creek,355,waterfall,116
140,field-cultivated,173,hayfield,115
191,igloo,111,crevasse,115
138,farm,173,hayfield,113
243,ocean,357,wave,113
293,runway,0,airfield,113
330,temple-asia,251,pagoda,113
215,living_room,328,television_room,110
167,grotto,85,catacomb,110
31,bakery-shop,267,pizzeria,110
163,glacier,111,crevasse,109
85,catacomb,167,grotto,108
3,alcove,69,burial_chamber,107
0,airfield,174,heliport,106
101,conference_center,210,lecture_room,106
93,clean_room,248,operating_room,106
69,burial_chamber,85,catacomb,104
249,orchard,150,forest-broadleaf,104
156,garage-indoor,29,auto_showroom,104
149,football_field,24,athletic_field-outdoor,104
144,fire_station,71,bus_station-indoor,104
189,ice_skating_rink-outdoor,188,ice_skating_rink-indoor,102
151,forest_path,152,forest_road,102
166,greenhouse-outdoor,165,greenhouse-indoor,102
15,arena-hockey,188,ice_skating_rink-indoor,100
73,butte,117,desert-vegetation,100
