true_id,true_label,pred_id,pred_label,count
336,train_interior,70,bus_interior,305
313,stadium-football,149,football_field,299
307,skyscraper,125,downtown,251
274,pub-indoor,54,beer_hall,234
25,atrium-public,302,shopping_mall-indoor,218
313,stadium-football,314,stadium-soccer,215
182,hotel_room,52,bedroom,214
9,aquarium,342,underwater-ocean_deep,199
210,lecture_room,92,classroom,190
293,runway,0,airfield,181
229,moat-water,78,canal-natural,180
310,soccer_field,314,stadium-soccer,179
13,archaelogical_excavation,340,trench,177
188,ice_skating_rink-indoor,189,ice_skating_rink-outdoor,167
22,artists_loft,19,art_gallery,165
163,glacier,234,mountain_snowy,164
310,soccer_field,24,athletic_field-outdoor,164
320,subway_station-platform,337,train_station-platform,164
67,building_facade,8,apartment_building-outdoor,163
188,ice_skating_rink-indoor,15,arena-hockey,158
235,movie_theater-indoor,177,home_theater,157
174,heliport,0,airfield,155
60,bookstore,212,library-indoor,155
45,bathroom,303,shower,154
162,gift_shop,160,general_store-indoor,153
51,bedchamber,52,bedroom,151
78,canal-natural,229,moat-water,148
124,dorm_room,363,youth_hostel,147
244,office,176,home_office,146
23,assembly_line,28,auto_factory,143
235,movie_theater-indoor,27,auditorium,143
122,discotheque,315,stage-indoor,143
97,coast,94,cliff,142
204,lagoon,194,islet,141
312,stadium-baseball,314,stadium-soccer,140
251,pagoda,330,temple-asia,140
234,mountain_snowy,163,glacier,139
172,hardware_store,160,general_store-indoor,139
330,temple-asia,251,pagoda,138
119,diner-outdoor,161,general_store-outdoor,138
312,stadium-baseball,42,baseball_field,138
203,kitchen,358,wet_bar,137
315,stage-indoor,16,arena-performance,133
305,ski_slope,309,snowfield,131
159,gazebo-exterior,260,pavilion,129
353,water_park,326,swimming_pool-outdoor,128
359,wheat_field,104,corn_field,128
328,television_room,215,living_room,127
181,hotel-outdoor,8,apartment_building-outdoor,126
0,airfield,293,runway,126
146,flea_market-indoor,223,market-outdoor,126
110,creek,355,waterfall,125
243,ocean,48,beach,125
303,shower,45,bathroom,124
151,forest_path,152,forest_road,124
21,art_studio,19,art_gallery,123
97,coast,48,beach,123
166,greenhouse-outdoor,165,greenhouse-indoor,123
250,orchestra_pit,238,music_studio,122
128,drugstore,262,pharmacy,122
337,train_station-platform,278,railroad_track,122
347,viaduct,10,aqueduct,121
187,ice_shelf,186,ice_floe,120
92,classroom,202,kindergarden_classroom,119
319,street,112,crosswalk,119
