true_id,true_label,pred_id,pred_label,count
4837,n005210,3786,n004046,34
7798,n008391,7941,n008545,27
8110,n008729,1236,n001315,20
1349,n001435,534,n000559,19
2394,n002559,4941,n005327,19
3093,n003315,3786,n004046,15
334,n000351,2127,n002272,14
7980,n008587,872,n000919,14
5414,n005860,1280,n001363,13
4190,n004492,5619,n006075,13
6791,n007306,1819,n001936,13
8496,n009136,7123,n007658,13
6591,n007090,2544,n002724,12
7183,n007724,7436,n007995,12
4061,n004347,763,n000805,12
8007,n008617,6256,n006740,12
2789,n002991,2806,n003011,12
3808,n004072,3124,n003346,12
5302,n005732,4016,n004299,11
4736,n005089,2473,n002644,11
4174,n004474,3032,n003249,11
8448,n009084,1492,n001586,10
6205,n006688,2473,n002644,10
4473,n004806,1492,n001586,10
5534,n005987,165,n000179,10
7062,n007592,8203,n008825,10
6205,n006688,1492,n001586,10
5812,n006274,28,n000032,10
8466,n009103,4474,n004807,10
1985,n002116,1024,n001082,10
678,n000713,683,n000718,10
6154,n006632,6911,n007433,10
537,n000562,3939,n004214,10
4605,n004953,5617,n006073,10
2894,n003102,1819,n001936,10
1457,n001550,8227,n008851,9
8390,n009025,8426,n009062,9
2276,n002434,1196,n001267,9
4753,n005108,4039,n004322,9
7463,n008025,8521,n009161,9
2251,n002406,7790,n008382,9
1491,n001585,1494,n001588,9
8323,n008955,4041,n004324,9
6787,n007302,6663,n007170,9
3792,n004053,1417,n001508,9
490,n000513,6857,n007374,9
7441,n008000,1182,n001252,9
1224,n001300,763,n000805,9
6862,n007379,5668,n006126,9
8494,n009134,7790,n008382,9
8448,n009084,2473,n002644,9
7927,n008529,7388,n007943,9
7968,n008575,2802,n003006,9
12,n000015,158,n000171,8
3088,n003310,2274,n002432,8
7185,n007726,1973,n002102,8
7273,n007816,2433,n002603,8
8494,n009134,5083,n005483,8
7123,n007658,7119,n007654,8
4683,n005032,1572,n001668,8
8497,n009137,8626,n009275,8
1236,n001315,8110,n008729,8
2497,n002673,262,n000278,8
3633,n003887,1136,n001204,8
4589,n004936,6291,n006776,8
1174,n001244,6932,n007455,8
4327,n004637,3870,n004139,8
7531,n008101,7530,n008100,8
4521,n004860,4247,n004549,8
3116,n003338,4621,n004969,8
8627,n009276,5951,n006418,8
5302,n005732,1856,n001975,8
4604,n004952,158,n000171,8
5690,n006149,5668,n006126,8
2421,n002590,483,n000506,8
6102,n006578,2589,n002777,8
5568,n006022,3908,n004178,7
3812,n004076,2950,n003163,7
8430,n009066,558,n000584,7
4718,n005069,4459,n004785,7
1215,n001287,28,n000032,7
7437,n007996,763,n000805,7
