true\pred,computer work,cooking,exploring,playing cards,playing frisbee,playing piano,playing poker,playing pool,playing sudoku,playing video game,preparing,skateboarding,socializing,solving rubik's cube,standing,walking,washing dishes
computer work,241,0,0,9,0,1,11,0,406,1,5,0,2,48,2,5,13
cooking,3,749,0,7,0,42,2,0,24,6,0,0,2,0,0,1,146
exploring,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,199,0
playing cards,0,247,0,634,0,0,3,0,97,0,0,0,0,0,0,2,17
playing frisbee,0,0,7,1,587,0,0,0,0,0,0,5,0,0,0,66,0
playing piano,892,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,14
playing poker,22,11,0,0,0,0,788,0,12,0,8,0,15,23,0,17,4
playing pool,6,2,0,0,1,0,0,639,0,0,0,0,11,0,0,9,2
playing sudoku,1,1,0,7,0,0,0,0,956,0,0,0,2,8,0,2,1
playing video game,4,7,0,14,0,1,0,2,0,0,0,0,0,0,0,3,825
preparing,8,15,0,2,0,1,10,0,2,1,13,0,13,0,0,13,30
skateboarding,2,0,0,2,25,0,0,0,0,0,0,603,1,0,0,127,0
socializing,1,2,1,176,1,0,0,0,0,0,23,0,311,1,0,177,1
solving rubik's cube,0,0,0,0,0,0,0,0,177,0,0,0,0,7,0,0,0
standing,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,77,15
walking,233,100,351,51,638,60,60,185,27,41,88,91,223,8,15,10860,267
washing dishes,0,71,0,1,0,0,1,0,0,0,0,0,0,0,0,1,418
