true_id,true_label,pred_id,pred_label,count
70,bus_interior,336,train_interior,681
293,runway,0,airfield,522
157,garage-outdoor,221,manufactured_home,347
125,downtown,307,skyscraper,335
174,heliport,0,airfield,318
274,pub-indoor,54,beer_hall,302
42,baseball_field,312,stadium-baseball,300
85,catacomb,69,burial_chamber,299
182,hotel_room,52,bedroom,283
9,aquarium,342,underwater-ocean_deep,263
303,shower,45,bathroom,256
176,home_office,100,computer_room,256
305,ski_slope,309,snowfield,234
181,hotel-outdoor,8,apartment_building-outdoor,228
245,office_building,307,skyscraper,226
314,stadium-soccer,312,stadium-baseball,224
315,stage-indoor,16,arena-performance,223
214,lighthouse,354,water_tower,222
24,athletic_field-outdoor,310,soccer_field,222
194,islet,204,lagoon,212
313,stadium-football,149,football_field,210
319,street,112,crosswalk,208
244,office,100,computer_room,208
104,corn_field,359,wheat_field,208
320,subway_station-platform,337,train_station-platform,207
313,stadium-football,312,stadium-baseball,205
355,waterfall,110,creek,201
321,supermarket,115,department_store,200
260,pavilion,159,gazebo-exterior,198
254,park,265,picnic_area,197
362,yard,209,lawn,195
51,bedchamber,52,bedroom,183
234,mountain_snowy,309,snowfield,180
105,corral,17,arena-rodeo,179
212,library-indoor,60,bookstore,178
188,ice_skating_rink-indoor,15,arena-hockey,173
84,castle,200,kasbah,172
161,general_store-outdoor,119,diner-outdoor,170
48,beach,204,lagoon,169
313,stadium-football,314,stadium-soccer,168
67,building_facade,8,apartment_building-outdoor,164
245,office_building,8,apartment_building-outdoor,164
292,ruin,200,kasbah,156
183,house,221,manufactured_home,152
40,barn,296,schoolhouse,152
334,tower,354,water_tower,152
163,glacier,234,mountain_snowy,151
31,bakery-shop,267,pizzeria,151
246,office_cubicles,100,computer_room,150
87,chalet,304,ski_resort,149
251,pagoda,330,temple-asia,147
203,kitchen,358,wet_bar,146
278,railroad_track,337,train_station-platform,145
183,house,296,schoolhouse,143
208,laundromat,343,utility_room,142
305,ski_slope,304,ski_resort,141
138,farm,173,hayfield,141
127,driveway,221,manufactured_home,140
3,alcove,69,burial_chamber,139
299,shed,221,manufactured_home,138
340,trench,13,archaelogical_excavation,138
97,coast,204,lagoon,137
23,assembly_line,28,auto_factory,137
223,market-outdoor,47,bazaar-outdoor,136
132,embassy,8,apartment_building-outdoor,135
229,moat-water,78,canal-natural,134
149,football_field,312,stadium-baseball,134
62,botanical_garden,147,florist_shop-indoor,134
216,loading_dock,170,hangar-outdoor,134
46,bazaar-indoor,222,market-indoor,133
361,windmill,354,water_tower,131
103,construction_site,136,excavation,130
256,parking_garage-outdoor,8,apartment_building-outdoor,129
162,gift_shop,115,department_store,129
315,stage-indoor,122,discotheque,129
353,water_park,326,swimming_pool-outdoor,129
340,trench,136,excavation,128
316,stage-outdoor,16,arena-performance,128
107,cottage,242,oast_house,127
85,catacomb,167,grotto,127
107,cottage,296,schoolhouse,126
32,balcony-exterior,8,apartment_building-outdoor,125
171,harbor,247,oilrig,125
178,hospital,8,apartment_building-outdoor,123
1,airplane_cabin,336,train_interior,122
258,pasture,173,hayfield,122
148,food_court,115,department_store,120
114,delicatessen,267,pizzeria,119
172,hardware_store,115,department_store,119
128,drugstore,115,department_store,119
188,ice_skating_rink-indoor,189,ice_skating_rink-outdoor,118
27,auditorium,235,movie_theater-indoor,118
222,market-indoor,115,department_store,117
286,restaurant_patio,119,diner-outdoor,116
92,classroom,210,lecture_room,115
302,shopping_mall-indoor,115,department_store,115
134,entrance_hall,331,throne_room,114
362,yard,221,manufactured_home,114
76,campsite,265,picnic_area,114
132,embassy,108,courthouse,113
187,ice_shelf,309,snowfield,113
237,museum-outdoor,108,courthouse,113
235,movie_theater-indoor,177,home_theater,113
163,glacier,309,snowfield,113
143,fire_escape,8,apartment_building-outdoor,112
131,elevator_shaft,26,attic,112
90,church-indoor,331,throne_room,112
101,conference_center,211,legislative_chamber,112
146,flea_market-indoor,222,market-indoor,112
310,soccer_field,314,stadium-soccer,111
161,general_store-outdoor,213,library-outdoor,111
285,restaurant_kitchen,322,sushi_bar,110
111,crevasse,163,glacier,110
80,candy_store,115,department_store,110
343,utility_room,45,bathroom,110
51,bedchamber,331,throne_room,109
363,youth_hostel,55,berth,108
13,archaelogical_excavation,136,excavation,108
347,viaduct,10,aqueduct,108
108,courthouse,213,library-outdoor,108
310,soccer_field,312,stadium-baseball,107
238,music_studio,250,orchestra_pit,107
28,auto_factory,133,engine_room,106
237,museum-outdoor,213,library-outdoor,106
314,stadium-soccer,310,soccer_field,106
49,beach_house,221,manufactured_home,106
302,shopping_mall-indoor,25,atrium-public,105
243,ocean,357,wave,105
335,toyshop,261,pet_shop,105
104,corn_field,140,field-cultivated,105
130,elevator_lobby,129,elevator-door,104
363,youth_hostel,52,bedroom,104
140,field-cultivated,173,hayfield,103
315,stage-indoor,250,orchestra_pit,103
120,dining_hall,121,dining_room,103
210,lecture_room,92,classroom,101
264,physics_laboratory,133,engine_room,101
195,jacuzzi-indoor,325,swimming_pool-indoor,100
93,clean_room,248,operating_room,100
179,hospital_room,248,operating_room,99
301,shopfront,119,diner-outdoor,99
227,medina,4,alley,98
334,tower,307,skyscraper,98
138,farm,140,field-cultivated,98
282,repair_shop,133,engine_room,97
74,cabin-outdoor,184,hunting_lodge-outdoor,97
48,beach,243,ocean,97
279,rainforest,110,creek,97
198,jewelry_shop,115,department_store,97
207,landing_deck,0,airfield,97
5,amphitheater,200,kasbah,96
187,ice_shelf,190,iceberg,96
272,porch,33,balcony-interior,96
89,childs_room,52,bedroom,96
243,ocean,204,lagoon,96
94,cliff,97,coast,96
97,coast,243,ocean,95
166,greenhouse-outdoor,165,greenhouse-indoor,95
25,atrium-public,228,mezzanine,94
182,hotel_room,55,berth,94
75,cafeteria,148,food_court,94
114,delicatessen,115,department_store,94
73,butte,200,kasbah,93
151,forest_path,150,forest-broadleaf,93
107,cottage,221,manufactured_home,93
101,conference_center,210,lecture_room,93
149,football_field,314,stadium-soccer,93
73,butte,81,canyon,92
353,water_park,7,amusement_park,92
281,recreation_room,6,amusement_arcade,92
324,swimming_hole,110,creek,92
22,artists_loft,19,art_gallery,92
317,staircase,228,mezzanine,91
132,embassy,213,library-outdoor,91
256,parking_garage-outdoor,213,library-outdoor,90
358,wet_bar,203,kitchen,90
153,formal_garden,197,japanese_garden,90
290,roof_garden,345,vegetable_garden,89
187,ice_shelf,186,ice_floe,89
101,conference_center,102,conference_room,89
118,desert_road,175,highway,89
152,forest_road,142,field_road,89
178,hospital,213,library-outdoor,89
144,fire_station,71,bus_station-indoor,88
39,bar,122,discotheque,88
164,golf_course,209,lawn,88
232,mountain,350,volcano,87
210,lecture_room,102,conference_room,87
275,racecourse,17,arena-rodeo,87
32,balcony-exterior,213,library-outdoor,87
280,reception,358,wet_bar,87
152,forest_road,175,highway,87
120,dining_hall,38,banquet_hall,87
68,bullring,17,arena-rodeo,86
177,home_theater,235,movie_theater-indoor,86
202,kindergarden_classroom,20,art_school,86
345,vegetable_garden,147,florist_shop-indoor,85
223,market-outdoor,53,beer_garden,85
293,runway,207,landing_deck,85
94,cliff,204,lagoon,85
215,living_room,352,waiting_room,85
91,church-outdoor,327,synagogue-outdoor,85
192,industrial_area,354,water_tower,85
289,rock_arch,167,grotto,84
184,hunting_lodge-outdoor,221,manufactured_home,84
162,gift_shop,160,general_store-indoor,84
259,patio,221,manufactured_home,84
8,apartment_building-outdoor,307,skyscraper,84
46,bazaar-indoor,47,bazaar-outdoor,84
205,lake-natural,204,lagoon,83
155,galley,203,kitchen,83
327,synagogue-outdoor,108,courthouse,82
189,ice_skating_rink-outdoor,188,ice_skating_rink-indoor,82
14,archive,60,bookstore,82
220,mansion,108,courthouse,82
92,classroom,100,computer_room,82
210,lecture_room,100,computer_room,82
193,inn-outdoor,213,library-outdoor,81
192,industrial_area,170,hangar-outdoor,81
348,village,200,kasbah,81
39,bar,54,beer_hall,81
41,barndoor,123,doorway-outdoor,81
264,physics_laboratory,100,computer_room,80
262,pharmacy,115,department_store,80
258,pasture,287,rice_paddy,80
333,topiary_garden,153,formal_garden,80
186,ice_floe,309,snowfield,80
11,arcade,25,atrium-public,80
329,television_studio,250,orchestra_pit,80
32,balcony-exterior,221,manufactured_home,80
196,jail_cell,69,burial_chamber,80
138,farm,287,rice_paddy,79
53,beer_garden,265,picnic_area,79
238,music_studio,329,television_studio,79
313,stadium-football,310,soccer_field,78
165,greenhouse-indoor,166,greenhouse-outdoor,78
190,iceberg,186,ice_floe,78
254,park,209,lawn,78
211,legislative_chamber,210,lecture_room,78
352,waiting_room,102,conference_room,78
233,mountain_path,117,desert-vegetation,78
287,rice_paddy,359,wheat_field,77
220,mansion,296,schoolhouse,77
10,aqueduct,200,kasbah,77
181,hotel-outdoor,307,skyscraper,77
330,temple-asia,251,pagoda,77
122,discotheque,16,arena-performance,77
124,dorm_room,100,computer_room,76
60,bookstore,115,department_store,76
182,hotel_room,45,bathroom,76
216,loading_dock,221,manufactured_home,76
359,wheat_field,173,hayfield,76
140,field-cultivated,359,wheat_field,76
91,church-outdoor,230,mosque-outdoor,76
72,butchers_shop,267,pizzeria,76
150,forest-broadleaf,151,forest_path,76
179,hospital_room,241,nursing_home,76
302,shopping_mall-indoor,228,mezzanine,75
91,church-outdoor,108,courthouse,75
363,youth_hostel,45,bathroom,75
130,elevator_lobby,106,corridor,75
223,market-outdoor,146,flea_market-indoor,75
43,basement,26,attic,75
240,nursery,89,childs_room,75
344,valley,233,mountain_path,75
172,hardware_store,321,supermarket,75
30,badlands,117,desert-vegetation,74
193,inn-outdoor,296,schoolhouse,74
28,auto_factory,23,assembly_line,74
261,pet_shop,115,department_store,74
137,fabric_store,96,clothing_store,74
230,mosque-outdoor,354,water_tower,74
146,flea_market-indoor,47,bazaar-outdoor,74
175,highway,142,field_road,74
