true_id,true_label,pred_id,pred_label,count
13,archaelogical_excavation,340,trench,411
24,athletic_field-outdoor,310,soccer_field,392
149,football_field,313,stadium-football,355
221,manufactured_home,157,garage-outdoor,346
314,stadium-soccer,310,soccer_field,327
101,conference_center,211,legislative_chamber,318
70,bus_interior,336,train_interior,314
328,television_room,215,living_room,308
320,subway_station-platform,337,train_station-platform,291
303,shower,45,bathroom,285
188,ice_skating_rink-indoor,15,arena-hockey,272
204,lagoon,194,islet,269
210,lecture_room,211,legislative_chamber,261
213,library-outdoor,193,inn-outdoor,259
305,ski_slope,309,snowfield,258
161,general_store-outdoor,193,inn-outdoor,258
314,stadium-soccer,313,stadium-football,255
136,excavation,340,trench,254
290,roof_garden,345,vegetable_garden,245
22,artists_loft,19,art_gallery,241
242,oast_house,107,cottage,240
220,mansion,193,inn-outdoor,232
203,kitchen,358,wet_bar,224
278,railroad_track,337,train_station-platform,223
334,tower,354,water_tower,221
183,house,193,inn-outdoor,210
21,art_studio,19,art_gallery,209
214,lighthouse,354,water_tower,206
25,atrium-public,302,shopping_mall-indoor,204
330,temple-asia,251,pagoda,203
151,forest_path,150,forest-broadleaf,201
108,courthouse,193,inn-outdoor,199
313,stadium-football,310,soccer_field,198
236,museum-indoor,19,art_gallery,196
20,art_school,21,art_studio,195
183,house,107,cottage,190
149,football_field,310,soccer_field,185
260,pavilion,159,gazebo-exterior,185
110,creek,279,rainforest,182
230,mosque-outdoor,354,water_tower,181
132,embassy,193,inn-outdoor,180
42,baseball_field,310,soccer_field,178
0,airfield,293,runway,176
235,movie_theater-indoor,27,auditorium,176
89,childs_room,240,nursery,173
27,auditorium,211,legislative_chamber,166
361,windmill,354,water_tower,163
184,hunting_lodge-outdoor,339,tree_house,163
67,building_facade,193,inn-outdoor,162
234,mountain_snowy,309,snowfield,160
212,library-indoor,60,bookstore,159
235,movie_theater-indoor,177,home_theater,159
232,mountain,233,mountain_path,158
52,bedroom,51,bedchamber,157
78,canal-natural,229,moat-water,155
127,driveway,157,garage-outdoor,152
32,balcony-exterior,193,inn-outdoor,149
296,schoolhouse,107,cottage,148
110,creek,355,waterfall,147
8,apartment_building-outdoor,32,balcony-exterior,147
153,formal_garden,197,japanese_garden,147
347,viaduct,10,aqueduct,147
9,aquarium,342,underwater-ocean_deep,146
192,industrial_area,354,water_tower,144
28,auto_factory,282,repair_shop,144
344,valley,233,mountain_path,143
4,alley,227,medina,142
174,heliport,0,airfield,142
359,wheat_field,104,corn_field,141
344,valley,348,village,140
350,volcano,180,hot_spring,140
195,jacuzzi-indoor,325,swimming_pool-indoor,139
22,artists_loft,215,living_room,138
173,hayfield,138,farm,138
184,hunting_lodge-outdoor,107,cottage,138
102,conference_room,211,legislative_chamber,138
364,zen_garden,127,driveway,137
163,glacier,187,ice_shelf,136
3,alcove,69,burial_chamber,136
122,discotheque,315,stage-indoor,136
352,waiting_room,215,living_room,135
8,apartment_building-outdoor,193,inn-outdoor,134
156,garage-indoor,282,repair_shop,132
190,iceberg,187,ice_shelf,132
92,classroom,211,legislative_chamber,132
290,roof_garden,165,greenhouse-indoor,132
84,castle,292,ruin,132
327,synagogue-outdoor,193,inn-outdoor,130
200,kasbah,292,ruin,129
111,crevasse,191,igloo,128
362,yard,127,driveway,127
307,skyscraper,125,downtown,125
85,catacomb,69,burial_chamber,125
264,physics_laboratory,282,repair_shop,124
343,utility_room,45,bathroom,124
319,street,112,crosswalk,123
54,beer_hall,274,pub-indoor,121
293,runway,0,airfield,121
223,market-outdoor,53,beer_garden,120
249,orchard,150,forest-broadleaf,120
279,rainforest,150,forest-broadleaf,120
243,ocean,194,islet,119
176,home_office,124,dorm_room,119
181,hotel-outdoor,193,inn-outdoor,118
151,forest_path,279,rainforest,117
291,rope_bridge,340,trench,116
181,hotel-outdoor,32,balcony-exterior,116
97,coast,194,islet,116
69,burial_chamber,85,catacomb,116
47,bazaar-outdoor,223,market-outdoor,116
307,skyscraper,245,office_building,116
74,cabin-outdoor,339,tree_house,115
121,dining_room,215,living_room,115
119,diner-outdoor,193,inn-outdoor,115
182,hotel_room,51,bedchamber,115
258,pasture,138,farm,115
176,home_office,100,computer_room,115
74,cabin-outdoor,107,cottage,114
289,rock_arch,167,grotto,114
261,pet_shop,201,kennel-outdoor,114
133,engine_room,282,repair_shop,114
