true_id,true_label,pred_id,pred_label,count
5762,n006223,8497,n009137,16
8626,n009275,8497,n009137,15
4112,n004406,5272,n005697,14
2433,n002603,8497,n009137,14
7835,n008429,8503,n009143,14
249,n000265,7229,n007772,13
7515,n008085,7617,n008197,13
3872,n004141,1562,n001658,13
305,n000322,4442,n004767,13
3873,n004142,5021,n005415,13
5453,n005901,212,n000227,12
4705,n005055,2949,n003162,12
2473,n002644,4465,n004794,12
4399,n004720,2510,n002688,11
2954,n003167,7792,n008384,11
6311,n006796,1094,n001158,11
5794,n006256,6522,n007019,11
3460,n003705,2106,n002244,11
3142,n003365,119,n000127,11
1609,n001711,6522,n007019,11
1996,n002127,8503,n009143,11
1761,n001873,212,n000227,11
5700,n006159,3132,n003354,10
6475,n006968,5961,n006429,10
8496,n009136,8497,n009137,10
7690,n008276,173,n000187,10
7705,n008291,7223,n007765,10
3523,n003771,8476,n009113,10
4473,n004806,4465,n004794,10
7751,n008342,791,n000833,10
4833,n005206,212,n000227,10
6146,n006623,8521,n009161,10
1492,n001586,8448,n009084,10
2760,n002962,7766,n008357,10
4077,n004365,1922,n002047,10
7907,n008507,3516,n003763,10
2421,n002590,483,n000506,10
4894,n005270,1922,n002047,10
2493,n002668,3163,n003387,10
2820,n003025,1638,n001740,10
2268,n002425,2342,n002502,9
7900,n008500,7229,n007772,9
4958,n005348,7425,n007984,9
4289,n004596,7025,n007553,9
6580,n007079,360,n000378,9
7710,n008296,4505,n004843,9
4245,n004547,8448,n009084,9
2565,n002746,1625,n001727,9
1387,n001476,471,n000494,9
810,n000855,8497,n009137,9
5179,n005585,1980,n002111,9
3410,n003651,5092,n005493,9
8245,n008870,2127,n002272,9
8572,n009218,866,n000913,9
6692,n007200,2638,n002828,9
3792,n004053,4370,n004688,9
1512,n001606,5223,n005638,9
7995,n008603,3516,n003763,9
1667,n001769,3980,n004260,9
34,n000038,5136,n005538,9
7837,n008431,7516,n008086,9
7968,n008575,2802,n003006,9
4957,n005346,6477,n006970,9
6720,n007229,254,n000270,9
5804,n006266,4625,n004973,9
270,n000287,212,n000227,9
7110,n007643,4757,n005113,9
4472,n004805,8448,n009084,9
3530,n003779,4603,n004951,9
7596,n008173,1152,n001221,9
6321,n006806,8503,n009143,9
6475,n006968,4757,n005113,9
5318,n005749,2525,n002704,9
530,n000555,2451,n002622,9
5743,n006203,8497,n009137,9
5972,n006440,814,n000859,9
4597,n004944,1107,n001171,8
522,n000547,5410,n005855,8
7007,n007533,4350,n004666,8
4358,n004674,3232,n003459,8
344,n000361,7383,n007938,8
2723,n002925,3067,n003286,8
5762,n006223,8626,n009275,8
8477,n009115,8476,n009113,8
7613,n008192,1570,n001666,8
1216,n001288,2106,n002244,8
865,n000911,2407,n002573,8
4984,n005376,2198,n002347,8
3135,n003358,8497,n009137,8
5049,n005446,7271,n007814,8
824,n000869,4625,n004973,8
6586,n007085,6477,n006970,8
8038,n008650,5653,n006110,8
4344,n004655,719,n000758,8
4642,n004990,1727,n001835,8
7431,n007990,6200,n006683,8
1907,n002032,2524,n002702,8
1229,n001308,1700,n001803,8
4190,n004492,5619,n006075,8
6118,n006595,7010,n007536,8
6667,n007174,6238,n006722,8
6863,n007380,5668,n006126,8
5561,n006015,6026,n006498,8
7043,n007573,471,n000494,8
7163,n007702,1922,n002047,8
7747,n008338,8311,n008942,8
551,n000577,3449,n003694,8
4736,n005089,4465,n004794,8
3723,n003981,5039,n005436,8
6862,n007379,5668,n006126,8
926,n000978,8512,n009152,8
7076,n007608,1107,n001171,8
3143,n003366,3141,n003364,8
5257,n005679,3980,n004260,8
213,n000228,212,n000227,8
712,n000751,4805,n005175,8
7806,n008399,814,n000859,8
1708,n001812,7847,n008443,8
924,n000976,2392,n002557,8
3277,n003508,4716,n005066,8
2362,n002525,212,n000227,8
824,n000869,7419,n007978,8
7183,n007724,3154,n003377,8
1475,n001568,1700,n001803,8
6142,n006619,5668,n006126,8
1071,n001132,2392,n002557,8
2497,n002673,262,n000278,8
6708,n007217,7904,n008504,8
7271,n007814,8497,n009137,8
4397,n004717,3027,n003244,8
7536,n008109,3232,n003459,8
1033,n001091,5785,n006246,8
2170,n002318,3497,n003744,8
5075,n005475,571,n000598,8
7902,n008502,768,n000810,8
5885,n006351,1700,n001803,8
3710,n003968,719,n000758,8
596,n000625,212,n000227,8
4464,n004792,4465,n004794,8
5173,n005579,2342,n002502,8
7463,n008025,8521,n009161,8
6027,n006499,6026,n006498,8
2764,n002966,2196,n002345,8
7249,n007792,7904,n008504,8
1688,n001791,2428,n002598,8
453,n000475,8512,n009152,8
8189,n008811,4021,n004304,8
5021,n005415,4486,n004823,8
2095,n002233,4384,n004702,8
7503,n008073,2437,n002608,8
4174,n004474,3032,n003249,8
1917,n002042,1896,n002019,8
453,n000475,456,n000478,8
5529,n005982,1949,n002074,8
394,n000415,6697,n007205,8
1072,n001133,1174,n001244,8
3566,n003817,4337,n004647,7
2729,n002931,456,n000478,7
5073,n005471,5090,n005491,7
7087,n007619,5136,n005538,7
6710,n007219,2802,n003006,7
8002,n008610,119,n000127,7
8497,n009137,7271,n007814,7
5545,n005999,1267,n001350,7
1102,n001166,2009,n002140,7
4308,n004615,7097,n007629,7
5015,n005409,1700,n001803,7
968,n001025,5876,n006341,7
3908,n004178,8452,n009088,7
8479,n009117,2433,n002603,7
7812,n008405,7223,n007765,7
2359,n002522,4805,n005175,7
3661,n003918,6800,n007315,7
5926,n006392,1700,n001803,7
4428,n004752,6483,n006976,7
6911,n007433,561,n000587,7
7292,n007837,2019,n002150,7
8482,n009120,5668,n006126,7
7452,n008012,2802,n003006,7
7194,n007735,459,n000482,7
2841,n003046,561,n000587,7
6228,n006712,791,n000833,7
1364,n001452,2802,n003006,7
4783,n005147,1536,n001630,7
4375,n004693,1751,n001863,7
7851,n008447,4487,n004824,7
683,n000718,6911,n007433,7
7891,n008491,3151,n003374,7
820,n000865,8288,n008917,7
5533,n005986,3398,n003639,7
2885,n003091,8463,n009100,7
4230,n004532,2802,n003006,7
3082,n003303,1523,n001617,7
7133,n007670,4564,n004907,7
2797,n003000,1595,n001695,7
7322,n007869,1815,n001930,7
2051,n002187,2198,n002347,7
4714,n005064,4447,n004773,7
8482,n009120,2433,n002603,7
243,n000258,2152,n002299,7
2213,n002363,8476,n009113,7
7658,n008240,1284,n001367,7
6614,n007114,1700,n001803,7
1763,n001875,7696,n008282,7
1325,n001410,4805,n005175,7
787,n000829,4623,n004971,7
8229,n008853,2556,n002736,7
2853,n003058,37,n000042,7
8597,n009246,6345,n006832,7
5287,n005714,2106,n002244,7
8555,n009198,7742,n008333,7
192,n000207,6196,n006678,7
4205,n004507,6800,n007315,7
5735,n006195,3129,n003351,7
4172,n004472,8497,n009137,7
2242,n002397,5450,n005898,7
7467,n008032,5662,n006119,7
1765,n001877,4100,n004392,7
779,n000821,6522,n007019,7
90,n000097,1523,n001617,7
2324,n002484,3516,n003763,7
1450,n001543,3761,n004021,7
4188,n004490,791,n000833,7
8484,n009122,2100,n002238,7
4048,n004331,3741,n003999,7
1307,n001391,8082,n008699,7
4241,n004543,212,n000227,7
1284,n001367,1922,n002047,7
7428,n007987,7643,n008225,7
7767,n008358,474,n000497,7
1303,n001387,3232,n003459,7
4485,n004822,479,n000502,7
6361,n006848,3497,n003744,7
971,n001028,2544,n002724,7
3816,n004081,6837,n007352,7
6431,n006921,1497,n001591,7
2179,n002327,7553,n008127,7
2842,n003047,2407,n002573,7
8524,n009164,5090,n005491,7
1996,n002127,2309,n002467,7
3510,n003757,4487,n004824,7
5808,n006270,3140,n003363,7
662,n000696,4543,n004882,7
6474,n006967,7766,n008357,7
1083,n001144,1107,n001171,7
7517,n008087,483,n000506,7
6011,n006482,394,n000415,7
6666,n007173,7196,n007737,7
3964,n004244,2633,n002823,7
1996,n002127,7835,n008429,7
6342,n006829,5085,n005485,7
8496,n009136,8503,n009143,7
533,n000558,7339,n007887,7
3855,n004124,7932,n008535,7
948,n001001,4569,n004913,7
6835,n007350,6795,n007310,7
32,n000036,145,n000158,7
6128,n006605,5668,n006126,7
7674,n008257,1885,n002007,7
6282,n006766,571,n000598,7
4605,n004953,7019,n007546,7
6814,n007329,7818,n008411,7
4016,n004299,7025,n007553,7
5405,n005850,4037,n004320,7
4825,n005198,1700,n001803,7
8594,n009243,5136,n005538,7
4727,n005079,4716,n005066,7
5384,n005826,7025,n007553,7
1221,n001295,5556,n006010,7
2268,n002425,7742,n008333,7
6758,n007272,4049,n004332,7
4041,n004324,2392,n002557,7
6553,n007051,7223,n007765,7
4209,n004511,1529,n001623,7
8496,n009136,7123,n007658,7
101,n000109,212,n000227,7
6141,n006618,1700,n001803,7
2436,n002607,6187,n006668,7
2881,n003087,919,n000971,7
5020,n005414,4353,n004669,7
1693,n001796,7847,n008443,7
2473,n002644,8448,n009084,7
8467,n009104,8503,n009143,7
2925,n003136,4620,n004968,7
8599,n009248,4603,n004951,7
1520,n001614,212,n000227,7
3400,n003641,6136,n006613,7
3642,n003898,966,n001023,7
4824,n005197,7374,n007929,7
8426,n009062,3002,n003218,7
5690,n006149,5668,n006126,7
7958,n008564,4988,n005382,7
6423,n006913,1700,n001803,7
1197,n001268,6302,n006787,7
4156,n004454,3668,n003925,7
5574,n006028,8188,n008810,7
1985,n002116,6284,n006768,7
391,n000412,3238,n003466,7
3191,n003416,5542,n005996,7
1270,n001353,8045,n008659,7
3429,n003673,4049,n004332,7
8179,n008801,3232,n003459,7
7092,n007624,8043,n008657,7
163,n000176,3681,n003938,6
7263,n007806,4384,n004702,6
174,n000188,1595,n001695,6
1852,n001971,2019,n002150,6
6512,n007007,7553,n008127,6
7405,n007962,6477,n006970,6
3443,n003688,4368,n004686,6
6380,n006868,1700,n001803,6
2269,n002426,1307,n001391,6
7434,n007993,1239,n001319,6
1795,n001909,2957,n003170,6
6431,n006921,4960,n005350,6
5509,n005959,3976,n004256,6
3113,n003335,5876,n006341,6
4496,n004834,954,n001007,6
3331,n003566,3332,n003567,6
1640,n001742,8476,n009113,6
1841,n001959,2407,n002573,6
7466,n008030,4716,n005066,6
5083,n005483,7792,n008384,6
4736,n005089,8448,n009084,6
1096,n001160,2152,n002299,6
2166,n002314,1214,n001286,6
2196,n002345,1922,n002047,6
6326,n006812,1442,n001535,6
7182,n007723,2417,n002585,6
5054,n005452,6190,n006671,6
4925,n005307,2131,n002276,6
7412,n007971,1152,n001221,6
5453,n005901,768,n000810,6
3165,n003389,8196,n008818,6
5224,n005640,4196,n004498,6
3477,n003722,468,n000491,6
7738,n008328,7223,n007765,6
3964,n004244,3449,n003694,6
354,n000372,334,n000351,6
2326,n002486,2274,n002432,6
6977,n007502,474,n000497,6
125,n000134,4988,n005382,6
3199,n003424,6477,n006970,6
5662,n006119,5653,n006110,6
1949,n002074,1590,n001690,6
1411,n001502,6749,n007263,6
5461,n005909,791,n000833,6
6834,n007349,506,n000531,6
4334,n004644,212,n000227,6
8245,n008870,7742,n008333,6
8576,n009222,7383,n007938,6
2532,n002711,5414,n005860,6
7638,n008219,2392,n002557,6
5545,n005999,4240,n004542,6
3733,n003991,1284,n001367,6
2057,n002193,278,n000295,6
7015,n007542,5899,n006365,6
757,n000799,954,n001007,6
13,n000016,3448,n003693,6
4226,n004528,7818,n008411,6
6107,n006583,791,n000833,6
2941,n003154,1493,n001587,6
6214,n006697,5167,n005572,6
3935,n004210,8364,n008998,6
1595,n001695,1152,n001221,6
71,n000076,6235,n006719,6
3877,n004146,866,n000913,6
8264,n008893,8263,n008892,6
4085,n004375,3499,n003746,6
1775,n001888,6934,n007457,6
458,n000481,6345,n006832,6
4472,n004805,1492,n001586,6
3025,n003242,4256,n004559,6
7365,n007920,7766,n008357,6
5535,n005988,1529,n001623,6
5743,n006203,7271,n007814,6
8271,n008900,7818,n008411,6
4483,n004820,1523,n001617,6
341,n000358,467,n000490,6
4112,n004406,7017,n007544,6
5512,n005962,6705,n007214,6
839,n000885,7154,n007692,6
4728,n005080,8448,n009084,6
6762,n007276,791,n000833,6
7613,n008192,3663,n003920,6
5880,n006345,2308,n002466,6
454,n000476,455,n000477,6
6473,n006966,3814,n004079,6
3215,n003442,3746,n004004,6
1691,n001794,7010,n007536,6
4643,n004991,5021,n005415,6
6545,n007043,7223,n007765,6
737,n000778,483,n000506,6
4449,n004775,2682,n002879,6
1474,n001567,4337,n004647,6
7248,n007791,719,n000758,6
4356,n004672,791,n000833,6
5748,n006208,2510,n002688,6
7665,n008247,2638,n002828,6
3121,n003343,571,n000598,6
4565,n004908,2135,n002280,6
7065,n007596,6026,n006498,6
8028,n008640,2216,n002366,6
5247,n005667,1457,n001550,6
4247,n004549,8497,n009137,6
3990,n004270,2297,n002455,6
7824,n008417,3663,n003920,6
7852,n008448,3497,n003744,6
3219,n003446,3990,n004270,6
5736,n006196,3316,n003550,6
6607,n007107,3067,n003286,6
5768,n006229,768,n000810,6
3829,n004096,7306,n007851,6
192,n000207,474,n000497,6
2122,n002265,5653,n006110,6
132,n000141,7766,n008357,6
353,n000371,2802,n003006,6
1927,n002052,3932,n004205,6
5568,n006022,8452,n009088,6
5121,n005523,6345,n006832,6
3863,n004132,5092,n005493,6
5489,n005938,1916,n002041,6
483,n000506,7517,n008087,6
7234,n007777,1834,n001951,6
923,n000975,2691,n002892,6
2840,n003045,8400,n009036,6
3189,n003413,2604,n002792,6
2358,n002521,3241,n003470,6
8555,n009198,1625,n001727,6
8609,n009258,119,n000127,6
4729,n005081,7405,n007962,6
3200,n003425,8609,n009258,6
1243,n001323,1700,n001803,6
6110,n006587,4625,n004973,6
8266,n008895,8189,n008811,6
1955,n002083,1700,n001803,6
2030,n002163,571,n000598,6
2039,n002174,7223,n007765,6
5023,n005418,483,n000506,6
3036,n003253,5308,n005738,6
3375,n003615,2890,n003098,6
4220,n004522,4422,n004746,6
2404,n002570,8497,n009137,6
3568,n003819,1751,n001863,6
6541,n007039,7904,n008504,6
8355,n008988,8114,n008733,6
6267,n006751,791,n000833,6
8619,n009268,3743,n004001,6
1866,n001987,911,n000963,6
4220,n004522,2009,n002140,6
4589,n004936,4730,n005082,6
7025,n007553,1111,n001176,6
5150,n005553,5092,n005493,6
8442,n009078,2451,n002622,6
5481,n005930,7818,n008411,6
