true_id,true_label,pred_id,pred_label,count
8503,n009143,7835,n008429,18
5763,n006224,127,n000136,17
7735,n008324,824,n000869,17
1996,n002127,7835,n008429,17
8207,n008831,824,n000869,15
1075,n001136,7236,n007779,15
6911,n007433,561,n000587,15
7751,n008342,791,n000833,15
4473,n004806,1492,n001586,15
3788,n004048,3480,n003726,15
6467,n006959,7236,n007779,14
4367,n004685,8367,n009001,14
305,n000322,4442,n004767,14
3088,n003310,2274,n002432,13
4245,n004547,8448,n009084,13
8245,n008870,2127,n002272,13
916,n000968,5224,n005640,13
8497,n009137,8626,n009275,13
2377,n002541,8367,n009001,13
3873,n004142,5021,n005415,13
4112,n004406,5272,n005697,12
394,n000415,6697,n007205,12
394,n000415,6011,n006482,12
5804,n006266,824,n000869,12
7952,n008556,4611,n004959,12
2243,n002398,8367,n009001,12
2473,n002644,8448,n009084,12
13,n000016,5849,n006314,12
3121,n003343,6707,n007216,12
5069,n005467,8085,n008702,12
6649,n007152,4059,n004344,12
7968,n008575,2802,n003006,12
7877,n008473,7553,n008127,12
3743,n004001,6248,n006732,12
4736,n005089,8448,n009084,11
4472,n004805,8448,n009084,11
4687,n005036,5849,n006314,11
5762,n006223,8626,n009275,11
7508,n008078,1071,n001132,11
50,n000055,7680,n008263,11
1572,n001668,7682,n008266,11
1625,n001727,2127,n002272,11
6914,n007436,7236,n007779,11
6789,n007304,3934,n004209,11
644,n000677,7236,n007779,11
2565,n002746,7434,n007993,11
8311,n008942,1284,n001367,11
1197,n001268,6302,n006787,11
2645,n002835,561,n000587,10
2954,n003167,7792,n008384,10
3010,n003226,258,n000274,10
719,n000758,3480,n003726,10
2723,n002925,824,n000869,10
2841,n003046,561,n000587,10
6445,n006936,1071,n001132,10
8448,n009084,1492,n001586,10
2052,n002188,1284,n001367,10
6154,n006632,561,n000587,10
4449,n004775,8040,n008652,10
1417,n001508,732,n000771,10
4612,n004960,8113,n008732,10
3702,n003960,7236,n007779,10
3448,n003693,5849,n006314,10
4331,n004641,7453,n008013,10
7062,n007592,438,n000460,10
1606,n001706,8306,n008936,10
3067,n003286,824,n000869,10
8420,n009056,824,n000869,10
1289,n001373,4611,n004959,10
8307,n008938,3410,n003651,10
4967,n005357,3835,n004102,10
5958,n006426,5058,n005456,10
7535,n008107,824,n000869,10
1492,n001586,8448,n009084,10
4633,n004981,4604,n004952,10
2106,n002244,1216,n001288,10
11,n000014,4599,n004947,10
4196,n004498,5224,n005640,10
4729,n005081,1004,n001062,10
2627,n002817,3695,n003952,10
3591,n003843,7236,n007779,9
2268,n002425,2342,n002502,9
6042,n006514,8367,n009001,9
7173,n007714,8367,n009001,9
7425,n007984,4958,n005348,9
3831,n004098,5549,n006003,9
5344,n005780,2461,n002632,9
8043,n008657,7092,n007624,9
6094,n006568,7680,n008263,9
4011,n004293,193,n000208,9
7549,n008123,1583,n001681,9
6228,n006712,791,n000833,9
2694,n002896,3695,n003952,9
3622,n003875,1284,n001367,9
5959,n006427,8085,n008702,9
5954,n006422,824,n000869,9
5949,n006416,7101,n007634,9
2624,n002814,7236,n007779,9
6762,n007276,791,n000833,9
2748,n002950,8448,n009084,9
6821,n007336,5224,n005640,9
583,n000610,791,n000833,9
6293,n006778,8448,n009084,9
3668,n003925,6092,n006566,9
7658,n008240,1284,n001367,9
7824,n008417,561,n000587,9
1152,n001221,7434,n007993,9
4483,n004820,4673,n005022,9
8126,n008745,3255,n003485,9
5966,n006434,3891,n004161,9
5647,n006104,3695,n003952,9
169,n000183,7682,n008266,9
2179,n002327,7553,n008127,9
7123,n007658,8448,n009084,9
4637,n004985,644,n000677,9
2470,n002641,558,n000584,9
5328,n005761,7434,n007993,9
2019,n002150,3835,n004102,9
4516,n004855,3255,n003485,9
7613,n008192,561,n000587,9
5727,n006187,2725,n002927,9
7701,n008287,7835,n008429,9
6464,n006956,8526,n009166,9
6113,n006590,1492,n001586,9
530,n000555,2451,n002622,9
2689,n002888,1902,n002026,9
4456,n004782,7236,n007779,9
1484,n001578,3934,n004209,8
5509,n005959,3976,n004256,8
2916,n003126,3416,n003658,8
494,n000517,4595,n004942,8
2002,n002133,7434,n007993,8
2326,n002486,2274,n002432,8
6914,n007436,644,n000677,8
1949,n002074,1590,n001690,8
3199,n003424,3934,n004209,8
2950,n003163,5058,n005456,8
4469,n004800,8448,n009084,8
2853,n003058,5704,n006163,8
1792,n001906,205,n000220,8
5085,n005485,2016,n002147,8
6586,n007085,3934,n004209,8
1199,n001270,8058,n008673,8
2145,n002292,2506,n002683,8
8262,n008891,5224,n005640,8
458,n000481,6345,n006832,8
4472,n004805,1492,n001586,8
6166,n006644,6802,n007317,8
2447,n002618,7608,n008187,8
4642,n004990,1727,n001835,8
3523,n003771,8476,n009113,8
8013,n008623,3255,n003485,8
1239,n001319,7434,n007993,8
4041,n004324,1071,n001132,8
5556,n006010,1221,n001295,8
1652,n001754,7767,n008358,8
1985,n002116,1024,n001082,8
2359,n002522,4805,n005175,8
1387,n001476,471,n000494,8
7688,n008274,5986,n006455,8
4356,n004672,791,n000833,8
1976,n002105,2963,n003176,8
2473,n002644,1492,n001586,8
2890,n003098,7453,n008013,8
7638,n008219,8526,n009166,8
1625,n001727,7434,n007993,8
7043,n007573,471,n000494,8
7596,n008173,7434,n007993,8
6620,n007120,7453,n008013,8
6084,n006558,3410,n003651,8
8555,n009198,2217,n002367,8
967,n001024,791,n000833,8
4729,n005081,7405,n007962,8
3143,n003366,3141,n003364,8
8533,n009173,8427,n009063,8
7123,n007658,8496,n009136,8
1305,n001389,7434,n007993,8
4436,n004761,7047,n007577,8
4485,n004822,479,n000502,8
5543,n005997,258,n000274,8
373,n000391,4611,n004959,8
2190,n002339,146,n000159,8
4030,n004313,5579,n006033,8
4993,n005387,7236,n007779,8
6321,n006806,7835,n008429,8
537,n000562,3939,n004214,8
6136,n006613,1071,n001132,8
3499,n003746,1767,n001880,8
1996,n002127,2309,n002467,8
657,n000691,1590,n001690,8
1922,n002047,1284,n001367,8
4623,n004971,787,n000829,8
6791,n007306,7434,n007993,8
678,n000713,561,n000587,8
1484,n001578,7092,n007624,8
683,n000718,561,n000587,8
4428,n004752,2766,n002968,8
6107,n006583,791,n000833,8
5574,n006028,2127,n002272,8
5021,n005415,4486,n004823,8
7110,n007643,4757,n005113,8
697,n000732,6666,n007173,8
5476,n005925,2686,n002885,8
4473,n004806,8448,n009084,8
7987,n008594,438,n000460,8
6940,n007463,3934,n004209,8
3121,n003343,6666,n007173,8
6580,n007079,8085,n008702,8
5318,n005749,2525,n002704,8
3330,n003565,6701,n007209,8
158,n000171,4604,n004952,8
7463,n008025,8521,n009161,8
4631,n004979,3480,n003726,8
4967,n005357,193,n000208,8
1373,n001461,7434,n007993,8
4797,n005167,5058,n005456,8
8426,n009062,3002,n003218,8
4493,n004831,6536,n007034,8
6152,n006630,3835,n004102,8
5519,n005971,8260,n008886,8
5972,n006440,814,n000859,8
3324,n003559,3835,n004102,8
8398,n009034,824,n000869,8
7465,n008027,64,n000069,7
163,n000176,3681,n003938,7
675,n000710,5224,n005640,7
1614,n001716,1609,n001711,7
1595,n001695,2131,n002276,7
551,n000577,2725,n002927,7
2825,n003030,1154,n001223,7
3331,n003566,3332,n003567,7
1640,n001742,8476,n009113,7
371,n000389,2556,n002736,7
5144,n005546,2586,n002772,7
559,n000585,2127,n002272,7
2392,n002557,924,n000976,7
6293,n006778,1492,n001586,7
5362,n005803,5849,n006314,7
1054,n001113,4016,n004299,7
6580,n007079,360,n000378,7
8477,n009115,8476,n009113,7
1994,n002125,8007,n008617,7
2450,n002621,8306,n008936,7
4681,n005030,6769,n007283,7
5794,n006256,205,n000220,7
6033,n006505,2371,n002534,7
8481,n009119,5224,n005640,7
3733,n003991,1284,n001367,7
1083,n001144,193,n000208,7
6103,n006579,2274,n002432,7
8555,n009198,7742,n008333,7
5049,n005446,7271,n007814,7
3460,n003705,1216,n001288,7
5257,n005679,8476,n009113,7
71,n000076,6235,n006719,7
559,n000585,7434,n007993,7
4952,n005341,2719,n002921,7
4298,n004605,657,n000691,7
6620,n007120,6536,n007034,7
7123,n007658,8494,n009134,7
1908,n002033,7047,n007577,7
5332,n005767,8306,n008936,7
3425,n003669,4611,n004959,7
6376,n006864,4451,n004777,7
1308,n001392,4611,n004959,7
5203,n005611,4673,n005022,7
4728,n005080,8448,n009084,7
1907,n002032,2524,n002702,7
5668,n006126,2433,n002603,7
7419,n007978,824,n000869,7
2816,n003021,5150,n005553,7
7119,n007654,8448,n009084,7
3889,n004159,1579,n001677,7
7434,n007993,2127,n002272,7
7975,n008582,7880,n008476,7
7620,n008200,5081,n005481,7
4597,n004944,3835,n004102,7
3880,n004149,3480,n003726,7
334,n000351,2127,n002272,7
2213,n002363,8476,n009113,7
561,n000587,7613,n008192,7
1984,n002115,7434,n007993,7
1570,n001666,561,n000587,7
5247,n005667,1457,n001550,7
5055,n005453,1727,n001835,7
5838,n006303,7453,n008013,7
3511,n003758,7022,n007550,7
8520,n009160,7710,n008296,7
7810,n008403,127,n000136,7
7748,n008339,7236,n007779,7
1927,n002052,3932,n004205,7
6146,n006623,8521,n009161,7
6356,n006843,4016,n004299,7
1431,n001522,561,n000587,7
606,n000635,7740,n008330,7
1595,n001695,7434,n007993,7
7467,n008032,5662,n006119,7
