true_id,true_label,pred_id,pred_label,count
336,train_interior,70,bus_interior,299
313,stadium-football,149,football_field,277
78,canal-natural,229,moat-water,246
302,shopping_mall-indoor,25,atrium-public,243
45,bathroom,303,shower,237
24,athletic_field-outdoor,310,soccer_field,232
23,assembly_line,28,auto_factory,231
0,airfield,293,runway,230
251,pagoda,330,temple-asia,214
347,viaduct,10,aqueduct,202
22,artists_loft,19,art_gallery,201
56,biology_laboratory,88,chemistry_lab,200
92,classroom,210,lecture_room,192
125,downtown,307,skyscraper,188
101,conference_center,211,legislative_chamber,184
313,stadium-football,314,stadium-soccer,184
165,greenhouse-indoor,166,greenhouse-outdoor,181
234,mountain_snowy,163,glacier,181
262,pharmacy,128,drugstore,178
342,underwater-ocean_deep,9,aquarium,178
21,art_studio,19,art_gallery,171
195,jacuzzi-indoor,325,swimming_pool-indoor,164
54,beer_hall,274,pub-indoor,159
312,stadium-baseball,42,baseball_field,157
183,house,107,cottage,156
187,ice_shelf,190,iceberg,156
52,bedroom,182,hotel_room,156
235,movie_theater-indoor,177,home_theater,155
74,cabin-outdoor,184,hunting_lodge-outdoor,153
174,heliport,0,airfield,152
208,laundromat,343,utility_room,151
149,football_field,313,stadium-football,148
307,skyscraper,125,downtown,148
60,bookstore,212,library-indoor,147
150,forest-broadleaf,151,forest_path,146
52,bedroom,51,bedchamber,145
314,stadium-soccer,310,soccer_field,144
112,crosswalk,319,street,144
245,office_building,307,skyscraper,140
15,arena-hockey,188,ice_skating_rink-indoor,138
73,butte,30,badlands,138
260,pavilion,159,gazebo-exterior,137
244,office,176,home_office,134
87,chalet,184,hunting_lodge-outdoor,133
333,topiary_garden,153,formal_garden,132
189,ice_skating_rink-outdoor,188,ice_skating_rink-indoor,130
235,movie_theater-indoor,27,auditorium,130
204,lagoon,194,islet,129
250,orchestra_pit,238,music_studio,129
94,cliff,97,coast,129
337,train_station-platform,320,subway_station-platform,127
188,ice_skating_rink-indoor,15,arena-hockey,125
13,archaelogical_excavation,340,trench,124
227,medina,4,alley,124
110,creek,355,waterfall,122
203,kitchen,358,wet_bar,122
281,recreation_room,6,amusement_arcade,119
120,dining_hall,38,banquet_hall,119
73,butte,81,canyon,118
320,subway_station-platform,337,train_station-platform,118
286,restaurant_patio,53,beer_garden,117
103,construction_site,136,excavation,116
223,market-outdoor,47,bazaar-outdoor,116
243,ocean,357,wave,115
101,conference_center,210,lecture_room,115
337,train_station-platform,278,railroad_track,114
87,chalet,304,ski_resort,114
353,water_park,7,amusement_park,113
0,airfield,174,heliport,113
104,corn_field,359,wheat_field,112
4,alley,227,medina,112
186,ice_floe,190,iceberg,111
310,soccer_field,314,stadium-soccer,111
42,baseball_field,312,stadium-baseball,111
81,canyon,30,badlands,110
293,runway,0,airfield,109
215,living_room,352,waiting_room,109
328,television_room,215,living_room,109
130,elevator_lobby,217,lobby,109
309,snowfield,305,ski_slope,108
151,forest_path,152,forest_road,108
314,stadium-soccer,313,stadium-football,107
274,pub-indoor,54,beer_hall,107
54,beer_hall,39,bar,107
120,dining_hall,121,dining_room,107
278,railroad_track,337,train_station-platform,105
11,arcade,25,atrium-public,105
188,ice_skating_rink-indoor,189,ice_skating_rink-outdoor,104
159,gazebo-exterior,260,pavilion,104
183,house,193,inn-outdoor,104
156,garage-indoor,29,auto_showroom,104
130,elevator_lobby,129,elevator-door,103
182,hotel_room,52,bedroom,103
161,general_store-outdoor,119,diner-outdoor,102
229,moat-water,78,canal-natural,102
221,manufactured_home,157,garage-outdoor,102
101,conference_center,27,auditorium,102
92,classroom,202,kindergarden_classroom,102
352,waiting_room,215,living_room,101
205,lake-natural,271,pond,101
242,oast_house,107,cottage,101
133,engine_room,28,auto_factory,101
243,ocean,48,beach,100
215,living_room,328,television_room,100
224,marsh,323,swamp,100
210,lecture_room,92,classroom,99
277,raft,324,swimming_hole,99
240,nursery,89,childs_room,99
290,roof_garden,345,vegetable_garden,99
223,market-outdoor,53,beer_garden,99
305,ski_slope,309,snowfield,99
97,coast,243,ocean,99
57,boardwalk,273,promenade,98
363,youth_hostel,182,hotel_room,98
