true_id,true_label,pred_id,pred_label,count
2473,n002644,1492,n001586,25
4469,n004800,1492,n001586,24
8448,n009084,1492,n001586,24
8496,n009136,7123,n007658,24
2394,n002559,4941,n005327,22
7798,n008391,7941,n008545,20
3812,n004076,543,n000568,18
8497,n009137,7271,n007814,18
6205,n006688,1492,n001586,18
8496,n009136,1492,n001586,17
6154,n006632,7824,n008417,17
5763,n006224,412,n000433,16
334,n000351,2127,n002272,16
7479,n008048,7185,n007726,16
5689,n006148,7271,n007814,16
2645,n002835,7824,n008417,15
8110,n008729,1236,n001315,15
4174,n004474,3032,n003249,15
386,n000406,2745,n002947,15
3663,n003920,7824,n008417,15
5668,n006126,2433,n002603,14
4950,n005338,1313,n001397,13
6911,n007433,7824,n008417,13
4472,n004805,1492,n001586,13
5794,n006256,6522,n007019,13
608,n000637,1685,n001788,13
6113,n006590,1492,n001586,13
1111,n001176,7025,n007553,12
7968,n008575,2802,n003006,12
1426,n001517,7025,n007553,12
1830,n001947,1017,n001075,12
5049,n005446,7271,n007814,12
2596,n002784,6942,n007465,12
4736,n005089,1492,n001586,12
4039,n004322,1337,n001423,11
6293,n006778,1492,n001586,11
4400,n004721,1492,n001586,11
3980,n004260,3316,n003550,11
4473,n004806,1492,n001586,11
7402,n007959,3032,n003249,11
2785,n002987,2563,n002744,11
7548,n008122,7398,n007955,11
2170,n002318,1106,n001170,11
4409,n004731,7452,n008012,11
4796,n005166,2708,n002910,11
4683,n005032,1572,n001668,11
3957,n004234,503,n000528,11
6862,n007379,2433,n002603,11
6846,n007362,5302,n005732,11
305,n000322,4442,n004767,11
7980,n008587,872,n000919,11
4465,n004794,1492,n001586,11
4994,n005388,7271,n007814,10
5579,n006033,6427,n006917,10
7817,n008410,7398,n007955,10
7740,n008330,7025,n007553,10
1570,n001666,7824,n008417,10
8485,n009124,1492,n001586,10
2532,n002711,5414,n005860,10
2473,n002644,4473,n004806,10
8626,n009275,2433,n002603,10
4728,n005080,1492,n001586,10
4360,n004676,6967,n007491,10
